CVE,Date,CWE,Severity
CVE-2025-25127,2025-03-03T14:15:52.320,CWE-79,7.1
CVE-2025-26534,2025-03-03T14:15:54.757,CWE-22,8.6
CVE-2025-26984,2025-03-03T14:15:57.217,CWE-79,6.1
CVE-2025-1125,2025-03-03T15:15:16.300,CWE-787,6.7
CVE-2025-1876,2025-03-03T17:15:14.517,CWE-119;CWE-121;CWE-787,9.8
CVE-2025-25967,2025-03-03T19:15:35.400,CWE-352,8.8
CVE-2025-1894,2025-03-04T02:15:35.380,CWE-74;CWE-89,9.8
CVE-2025-20042,2025-03-04T04:15:12.970,CWE-125,5.5
CVE-2025-23414,2025-03-04T04:15:15.377,CWE-416,7.8
CVE-2025-0958,2025-03-04T10:15:10.817,CWE-20;NVD-CWE-noinfo,6.3
CVE-2025-1942,2025-03-04T14:15:39.167,CWE-908,9.8
CVE-2025-27507,2025-03-04T17:15:20.360,CWE-639,9.0
CVE-2025-1958,2025-03-04T22:15:40.210,CWE-74;CWE-89,9.8
CVE-2025-1914,2025-03-05T04:15:10.233,CWE-125,8.8
CVE-2025-27645,2025-03-05T06:15:36.117,CWE-863,9.8
CVE-2025-27662,2025-03-05T06:15:38.467,CWE-256,9.8
CVE-2025-27679,2025-03-05T06:15:40.933,CWE-79,6.1
CVE-2025-1702,2025-03-05T12:15:35.420,CWE-89,7.5
CVE-2025-25632,2025-03-05T21:15:19.890,CWE-77,9.8
CVE-2025-20913,2025-03-06T05:15:18.037,CWE-125,5.5
CVE-2025-20930,2025-03-06T05:15:21.063,CWE-125,5.5
CVE-2025-21825,2025-03-06T16:15:54.753,CWE-415,4.7
CVE-2025-25191,2025-03-06T19:15:27.113,CWE-79,5.4
CVE-2025-2042,2025-03-06T21:15:16.397,CWE-352;CWE-862,6.5
CVE-2025-2059,2025-03-07T02:15:38.600,CWE-74;CWE-89,9.8
CVE-2025-0959,2025-03-07T09:15:16.153,CWE-564;CWE-89,6.5
CVE-2025-2087,2025-03-07T14:15:38.030,CWE-79;CWE-94,6.1
CVE-2025-27824,2025-03-07T22:15:38.220,CWE-79,6.4
CVE-2025-1325,2025-03-08T10:15:11.427,CWE-862,6.3
CVE-2025-27636,2025-03-09T13:15:34.403,CWE-178,5.6
CVE-2025-27254,2025-03-10T09:15:11.167,CWE-282,8.0
CVE-2025-25614,2025-03-10T15:15:37.330,CWE-284,8.8
CVE-2025-27616,2025-03-10T19:15:41.080,CWE-290;CWE-345,8.5
CVE-2025-23185,2025-03-11T01:15:34.330,CWE-209,4.1
CVE-2025-27436,2025-03-11T01:15:36.920,CWE-639,4.3
CVE-2025-2176,2025-03-11T08:15:12.090,CWE-189;CWE-190,7.5
CVE-2025-27395,2025-03-11T10:15:18.700,CWE-22,6.5
CVE-2025-2194,2025-03-11T14:15:27.753,CWE-79;CWE-94,6.1
CVE-2025-24043,2025-03-11T17:16:25.897,CWE-347,7.5
CVE-2025-24070,2025-03-11T17:16:29.680,CWE-1390,7.0
CVE-2025-24987,2025-03-11T17:16:34.767,CWE-125,6.8
CVE-2025-26634,2025-03-11T17:16:43.743,CWE-122,7.5
CVE-2025-24451,2025-03-11T18:15:31.993,CWE-787,7.8
CVE-2025-27170,2025-03-11T18:15:35.227,CWE-476,5.5
CVE-2025-25928,2025-03-11T20:15:17.247,CWE-352,8.0
CVE-2025-28864,2025-03-11T21:15:43.810,CWE-352,8.8
CVE-2025-28891,2025-03-11T21:15:46.420,CWE-352,7.1
CVE-2025-28914,2025-03-11T21:15:49.173,CWE-79,5.9
CVE-2025-28938,2025-03-11T21:15:51.737,CWE-862,4.3
CVE-2025-1707,2025-03-11T22:15:12.583,CWE-98,8.8
CVE-2025-2076,2025-03-12T04:15:18.800,CWE-79,4.8
CVE-2025-21856,2025-03-12T10:15:18.453,CWE-416,7.8
CVE-2025-27788,2025-03-12T14:15:16.770,CWE-125,7.5
CVE-2025-20143,2025-03-12T16:15:21.733,CWE-347,6.7
CVE-2025-0114,2025-03-12T19:15:37.363,CWE-400,7.5
CVE-2025-2104,2025-03-13T05:15:28.303,CWE-862,4.3
CVE-2025-29998,2025-03-13T12:15:14.277,CWE-799,8.2
CVE-2025-1428,2025-03-13T17:15:34.900,CWE-125,7.8
CVE-2025-29773,2025-03-13T17:15:37.833,CWE-287;NVD-CWE-noinfo,7.8
CVE-2025-30022,2025-03-14T03:15:45.257,CWE-89,6.8
CVE-2025-27595,2025-03-14T13:15:40.763,CWE-328,9.8
CVE-2025-29385,2025-03-14T17:15:52.393,CWE-787,9.8
CVE-2025-1667,2025-03-15T04:15:21.273,CWE-639;CWE-862,4.3
CVE-2025-2322,2025-03-15T14:15:28.220,CWE-259;CWE-798,9.8
CVE-2025-26969,2025-03-15T22:15:15.120,CWE-862,8.3
CVE-2025-1624,2025-03-16T06:15:13.210,CWE-79,3.5
CVE-2025-2353,2025-03-17T00:15:11.893,CWE-74;CWE-89,7.3
CVE-2025-2366,2025-03-17T07:15:34.067,CWE-79;CWE-94,2.4
CVE-2025-2401,2025-03-17T13:15:39.803,CWE-119,5.4
CVE-2025-29788,2025-03-17T14:15:22.653,CWE-472,6.5
CVE-2025-25684,2025-03-17T17:15:39.463,CWE-22,7.5
CVE-2025-2390,2025-03-17T19:15:28.043,CWE-74;CWE-89,6.3
CVE-2025-27762,2025-03-17T23:15:17.863,N/A,N/A
CVE-2025-25220,2025-03-18T09:15:13.750,CWE-78,N/A
CVE-2025-30109,2025-03-18T15:16:02.063,CWE-798,6.5
CVE-2025-26138,2025-03-18T17:15:46.670,CWE-284,6.5
CVE-2025-2290,2025-03-19T05:15:41.180,CWE-862,5.3
CVE-2025-29783,2025-03-19T16:15:32.477,CWE-502,9.0
CVE-2025-2536,2025-03-19T19:15:50.560,CWE-79,5.1
CVE-2025-27787,2025-03-19T21:15:40.923,CWE-22;CWE-74,7.5
CVE-2025-0189,2025-03-20T10:15:51.660,CWE-770;NVD-CWE-noinfo,7.5
CVE-2025-1451,2025-03-20T10:15:53.777,CWE-770;NVD-CWE-noinfo,7.5
CVE-2025-2547,2025-03-20T16:15:16.607,CWE-266;CWE-284,4.3
CVE-2025-29217,2025-03-20T19:15:37.680,CWE-121,6.5
CVE-2025-30342,2025-03-21T06:15:26.510,CWE-79,6.1
CVE-2025-2588,2025-03-21T12:15:26.553,CWE-404;CWE-476,3.3
CVE-2025-29227,2025-03-21T17:15:39.777,CWE-77,6.3
CVE-2025-0723,2025-03-22T05:15:38.053,CWE-89,6.5
CVE-2025-2577,2025-03-22T12:15:27.013,CWE-79,6.4
CVE-2025-2639,2025-03-23T03:15:11.807,CWE-266;CWE-285;NVD-CWE-noinfo,5.3
CVE-2025-2652,2025-03-23T15:15:13.737,CWE-548;CWE-552,7.5
CVE-2025-2665,2025-03-23T22:15:13.340,CWE-74;CWE-89,9.8
CVE-2025-2686,2025-03-24T06:15:13.127,CWE-266;CWE-284,6.5
CVE-2025-30528,2025-03-24T14:15:21.240,CWE-352,9.3
CVE-2025-30546,2025-03-24T14:15:23.820,CWE-352,4.3
CVE-2025-30570,2025-03-24T14:15:28.937,CWE-89,7.6
CVE-2025-30591,2025-03-24T14:15:31.333,CWE-862,5.3
CVE-2025-30612,2025-03-24T14:15:33.823,CWE-352,7.1
CVE-2025-30208,2025-03-24T17:15:21.820,CWE-200;CWE-284;NVD-CWE-noinfo,7.5
CVE-2025-29312,2025-03-24T21:15:18.113,CWE-670,9.1
CVE-2025-2720,2025-03-25T00:15:15.500,N/A,N/A
CVE-2025-0717,2025-03-25T06:15:40.123,N/A,3.5
CVE-2025-2751,2025-03-25T08:15:20.013,CWE-119;CWE-125,8.8
CVE-2025-29932,2025-03-25T13:15:41.520,CWE-611,5.3
CVE-2025-25371,2025-03-25T21:15:41.907,CWE-22,7.5
CVE-2025-2302,2025-03-26T00:15:13.593,CWE-79,6.4
CVE-2025-27551,2025-03-26T11:15:38.943,CWE-331;CWE-338;CWE-916,4.0
CVE-2025-23543,2025-03-26T15:15:57.723,CWE-79,7.1
CVE-2025-25134,2025-03-26T15:16:08.190,CWE-79,7.1
CVE-2025-26583,2025-03-26T15:16:11.903,CWE-79,7.1
CVE-2025-28869,2025-03-26T15:16:14.617,CWE-79,7.1
CVE-2025-28928,2025-03-26T15:16:17.307,CWE-79,7.1
CVE-2025-30350,2025-03-26T17:15:27.093,CWE-770,5.3
CVE-2025-26008,2025-03-26T20:15:21.900,CWE-120,9.8
CVE-2025-30407,2025-03-26T22:15:15.943,CWE-426,N/A
CVE-2025-31113,2025-03-27T04:15:29.493,N/A,N/A
CVE-2025-30775,2025-03-27T11:15:38.673,CWE-89,8.5
CVE-2025-30799,2025-03-27T11:15:40.883,CWE-79,5.9
CVE-2025-30819,2025-03-27T11:15:43.183,CWE-89,8.5
CVE-2025-30843,2025-03-27T11:15:45.490,CWE-89,7.6
CVE-2025-30867,2025-03-27T11:15:47.960,CWE-79,5.4
CVE-2025-30894,2025-03-27T11:15:50.333,CWE-862,4.3
CVE-2025-30922,2025-03-27T11:15:52.917,CWE-79,6.5
CVE-2025-22673,2025-03-27T14:15:49.250,CWE-862,4.3
CVE-2025-1997,2025-03-27T15:15:54.550,CWE-80,4.6
CVE-2025-21887,2025-03-27T15:15:56.603,CWE-416,7.8
CVE-2025-22668,2025-03-27T15:15:58.903,CWE-862,6.5
CVE-2025-29497,2025-03-27T15:16:01.103,CWE-200,6.5
CVE-2025-22637,2025-03-27T16:15:28.580,CWE-352,4.3
CVE-2025-30366,2025-03-27T17:15:58.047,CWE-79,5.4
CVE-2025-2888,2025-03-27T23:15:35.717,CWE-1025,4.5
CVE-2025-2894,2025-03-28T03:15:18.780,CWE-912,6.6
CVE-2025-27001,2025-03-28T10:15:15.953,CWE-201,6.5
CVE-2025-2815,2025-03-28T12:15:15.550,CWE-862,8.8
CVE-2025-31453,2025-03-28T12:15:18.103,CWE-79,6.5
CVE-2025-2909,2025-03-28T13:15:41.387,CWE-312,6.9
CVE-2025-2901,2025-03-28T14:15:22.020,N/A,N/A
CVE-2025-2914,2025-03-28T17:15:30.510,CWE-119;CWE-122;CWE-787,3.3
CVE-2025-28256,2025-03-28T21:15:17.810,CWE-78,9.8
CVE-2025-31370,2025-03-29T04:15:38.677,N/A,N/A
CVE-2025-2953,2025-03-30T16:15:14.380,CWE-404,5.5
CVE-2025-2970,2025-03-31T02:15:21.583,N/A,N/A
CVE-2025-2978,2025-03-31T06:15:29.627,CWE-284;CWE-434,9.8
CVE-2025-2071,2025-03-31T09:15:14.807,CWE-78,10.0
CVE-2025-3026,2025-03-31T11:15:40.127,CWE-74,6.1
CVE-2025-31538,2025-03-31T13:15:47.730,CWE-79,6.5
CVE-2025-31569,2025-03-31T13:15:50.367,CWE-352,7.1
CVE-2025-31593,2025-03-31T13:15:52.937,CWE-79,6.5
CVE-2025-31613,2025-03-31T13:15:55.430,CWE-352,7.1
